,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,1,histoire,history
1,1,1,2,chercher,search
2,2,2,3,seulement,only
3,3,3,4,police,police
4,4,4,5,pensais,thought
5,5,5,6,aide,help
6,6,6,7,demande,request
7,7,7,8,genre,kind
8,8,8,9,mois,month
9,9,9,10,frère,brother
10,10,10,11,laisser,let
11,11,11,12,car,because
12,12,12,13,mettre,to put
13,13,13,14,aucun,no
14,14,14,15,laisse,leash
15,15,15,16,eux,them
16,16,16,17,ville,city
17,17,17,18,chaque,each
18,18,18,19,parlé,speak
19,19,19,20,arrivé,come
20,20,20,21,devrait,should
21,21,21,22,bébé,baby
22,22,22,24,heures,hours
23,23,23,25,vont,will
24,24,24,26,pendant,while
25,25,25,27,revoir,meet again
26,26,26,28,aucune,any
27,27,27,29,place,square
28,28,28,30,parle,speak
29,29,29,31,compris,understood
30,30,30,32,savais,knew
31,31,31,33,étaient,were
32,32,32,34,attention,Warning
33,33,33,35,voici,here is
34,34,34,36,pourrais,could
35,35,35,37,affaire,case
36,36,36,38,donner,give
37,37,37,39,type,type
38,38,38,40,leurs,their
39,39,39,41,donné,given
40,40,40,42,train,train
41,41,41,43,corps,body
42,42,42,44,endroit,place
43,43,43,45,yeux,eyes
44,44,44,46,façon,way
45,45,45,47,écoute,listen
46,46,46,48,dont,whose
47,47,47,49,trouve,find
48,48,48,50,premier,first
49,49,49,51,perdu,lost
50,50,50,52,main,hand
51,51,51,53,première,first
52,52,53,55,pouvoir,power
53,53,54,56,vieux,old
54,54,55,57,sois,be
55,55,56,58,tiens,here
56,56,57,59,matin,morning
57,57,58,60,tellement,so much
58,58,59,61,enfant,child
59,59,60,62,point,point
60,60,61,63,suite,after
61,61,62,64,pardon,sorry
62,62,64,66,devant,in front of
63,63,65,67,vers,towards
64,64,66,68,minutes,minutes
65,65,67,69,demandé,request
66,66,68,70,chambre,bedroom
67,68,70,72,belle,beautiful
68,69,71,73,droit,law
69,70,72,74,aimerais,would like to
70,71,73,75,aujourd'hui,today
71,72,74,76,mari,husband
72,73,75,77,cause,cause
73,74,76,78,enfin,finally
74,75,77,79,espère,hope
75,76,78,80,eau,water
76,77,79,82,parti,left
77,78,80,83,nouvelle,new
78,79,81,84,boulot,job
79,80,82,85,arrêter,Stop
80,81,83,86,dirait,would say
81,82,84,87,terre,Earth
82,83,85,88,compte,account
83,84,86,89,donne,given
84,85,87,90,loin,far
85,86,88,91,fin,end
86,87,89,92,croire,believe
87,88,90,93,chérie,sweetheart
88,89,91,94,gros,large
89,90,93,96,aura,will have
90,91,94,97,filles,girls
91,92,95,98,jouer,to play
92,93,96,99,bureau,office
